Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Partly cloudy (5/8),2007-05-20,-1,1235.0,15.5,61.01379075534379,25.55854445562533,207.4933333333333
Clear (0/8),2007-05-21,-1,1236.0,14.5,61.01379075534379,25.55854445562533,296.02
Cloudy (8/8),2007-05-22,-1,1237.0,11.6,61.01379075534379,25.55854445562533,294.42333333333335
Cloudy (8/8),2007-05-23,-1,1238.0,12.6,61.01379075534379,25.55854445562533,206.68
Clear (1/8),2007-05-24,-1,1239.0,10.7,61.01379075534379,25.55854445562533,302.41333333333336
Mostly cloudy (7/8),2007-05-25,-1,1240.0,12.7,61.01379075534379,25.55854445562533,285.00666666666666
Mostly cloudy (7/8),2007-05-26,-1,1241.0,14.2,61.01379075534379,25.55854445562533,187.5133333333333
Partly cloudy (5/8),2007-05-27,-1,1242.0,17.3,61.01379075534379,25.55854445562533,217.6833333333333
Mostly cloudy (7/8),2007-05-28,-1,1243.0,18.2,61.01379075534379,25.55854445562533,300.5675757575757
Clear (0/8),2007-05-29,-1,1244.0,17.6,61.01379075534379,25.55854445562533,380.8230303030303
Cloudy (8/8),2007-05-30,-1,1245.0,14.7,61.01379075534379,25.55854445562533,400.1166666666666
Cloudy (8/8),2007-05-31,-1,1246.0,15.4,61.01379075534379,25.55854445562533,305.49333333333334
Clear (1/8),2007-06-01,-1,1247.0,13.2,61.01379075534379,25.55854445562533,353.0056166056166
Clear (0/8),2007-06-02,-1,1248.0,12.9,61.01379075534379,25.55854445562533,393.0033333333333
Clear (0/8),2007-06-03,-1,1249.0,15.1,61.01379075534379,25.55854445562533,365.11
Clear (0/8),2007-06-04,-1,1250.0,17.4,61.01379075534379,25.55854445562533,313.47333333333336
Clear (0/8),2007-06-05,-1,1251.0,17.6,61.01379075534379,25.55854445562533,263.67333333333335
Clear (0/8),2007-06-06,-1,1252.0,19.8,61.01379075534379,25.55854445562533,236.3033333333333
Clear (0/8),2007-06-07,-1,1253.0,18.0,61.01379075534379,25.55854445562533,403.21
Clear (0/8),2007-06-08,-1,1254.0,18.8,61.01379075534379,25.55854445562533,216.7733333333333
Clear (0/8),2007-06-09,-1,1255.0,19.8,61.01379075534379,25.55854445562533,252.07
Clear (0/8),2007-06-10,-1,1256.0,17.9,61.01379075534379,25.55854445562533,324.76666666666665
Mostly cloudy (7/8),2007-06-11,-1,1257.0,14.7,61.01379075534379,25.55854445562533,224.8733333333333
Mostly cloudy (7/8),2007-06-12,-1,1258.0,13.6,61.01379075534379,25.55854445562533,187.46666666666667
Mostly clear (3/8),2007-06-13,-1,1259.0,14.3,61.01379075534379,25.55854445562533,193.26
Mostly cloudy (7/8),2007-06-14,-1,1260.0,10.5,61.01379075534379,25.55854445562533,253.58333333333331
Mostly cloudy (7/8),2007-06-15,-1,1261.0,10.8,61.01379075534379,25.55854445562533,322.78
Clear (0/8),2007-06-16,-1,1262.0,13.1,61.01379075534379,25.55854445562533,227.62925925925924
Clear (0/8),2007-06-17,-1,1263.0,14.6,61.01379075534379,25.55854445562533,230.30555555555557
Cloudy (8/8),2007-06-18,-1,1264.0,13.4,61.01379075534379,25.55854445562533,231.06333333333336
Clear (0/8),2007-06-19,-1,1265.0,14.0,61.01379075534379,25.55854445562533,241.1233333333333
Clear (0/8),2007-06-20,-1,1266.0,14.1,61.01379075534379,25.55854445562533,208.56333333333336
Partly cloudy (5/8),2007-06-21,-1,1267.0,14.3,61.01379075534379,25.55854445562533,253.31
Clear (1/8),2007-06-22,-1,1268.0,13.4,61.01379075534379,25.55854445562533,304.2866666666667
Clear (0/8),2007-06-23,-1,1269.0,14.7,61.01379075534379,25.55854445562533,313.13703703703703
Clear (0/8),2007-06-24,-1,1270.0,16.8,61.01379075534379,25.55854445562533,259.355925925926
Clear (1/8),2007-06-25,-1,1271.0,15.3,61.01379075534379,25.55854445562533,165.45333333333332
Cloudy (8/8),2007-06-26,-1,1272.0,11.2,61.01379075534379,25.55854445562533,196.02666666666664
Partly cloudy (5/8),2007-06-27,-1,1273.0,12.2,61.01379075534379,25.55854445562533,191.14
Mostly cloudy (7/8),2007-06-28,-1,1274.0,12.4,61.01379075534379,25.55854445562533,243.7225925925926
Mostly cloudy (7/8),2007-06-29,-1,1275.0,15.1,61.01379075534379,25.55854445562533,218.00074074074072
Cloudy (8/8),2007-06-30,-1,1276.0,15.1,61.01379075534379,25.55854445562533,144.39666666666668
Mostly clear (3/8),2007-07-01,-1,1277.0,16.0,61.01379075534379,25.55854445562533,135.58090366581413
Mostly cloudy (7/8),2007-07-02,-1,1278.0,18.3,61.01379075534379,25.55854445562533,204.0133333333333
Clear (0/8),2007-07-03,-1,1279.0,18.8,61.01379075534379,25.55854445562533,264.6066666666667
Clear (0/8),2007-07-04,-1,1280.0,19.6,61.01379075534379,25.55854445562533,309.41333333333336
Clear (0/8),2007-07-05,-1,1281.0,19.6,61.01379075534379,25.55854445562533,229.25222222222223
Mostly cloudy (7/8),2007-07-06,-1,1282.0,16.5,61.01379075534379,25.55854445562533,193.12185185185183
Mostly cloudy (7/8),2007-07-07,-1,1283.0,18.3,61.01379075534379,25.55854445562533,135.317037037037
Mostly cloudy (7/8),2007-07-08,-1,1284.0,16.5,61.01379075534379,25.55854445562533,130.40333333333334
Mostly clear (3/8),2007-07-09,-1,1285.0,17.0,61.01379075534379,25.55854445562533,137.43
Clear (1/8),2007-07-10,-1,1286.0,16.0,61.01379075534379,25.55854445562533,155.64666666666665
Clear (0/8),2007-07-11,-1,1287.0,15.1,61.01379075534379,25.55854445562533,115.95
Cloudy (8/8),2007-07-12,-1,1288.0,17.2,61.01379075534379,25.55854445562533,234.34333333333333
Mostly clear (3/8),2007-07-13,-1,1289.0,16.1,61.01379075534379,25.55854445562533,189.25
Cloudy (8/8),2007-07-14,-1,1290.0,15.4,61.01379075534379,25.55854445562533,209.80333333333337
Cloudy (8/8),2007-07-15,-1,1291.0,14.9,61.01379075534379,25.55854445562533,193.0533333333333
Clear (1/8),2007-07-16,-1,1292.0,17.6,61.01379075534379,25.55854445562533,225.9033333333333
Clear (0/8),2007-07-17,-1,1293.0,19.2,61.01379075534379,25.55854445562533,274.08666666666664
Mostly cloudy (7/8),2007-07-18,-1,1294.0,18.4,61.01379075534379,25.55854445562533,215.0103703703704
Mostly cloudy (7/8),2007-07-19,-1,1295.0,15.1,61.01379075534379,25.55854445562533,170.57185185185185
Cloudy (8/8),2007-07-20,-1,1296.0,14.9,61.01379075534379,25.55854445562533,230.9633333333333
Cloudy (8/8),2007-07-21,-1,1297.0,15.6,61.01379075534379,25.55854445562533,242.17
Clear (0/8),2007-07-22,-1,1298.0,16.3,61.01379075534379,25.55854445562533,245.09333333333333
Clear (0/8),2007-07-23,-1,1299.0,16.1,61.01379075534379,25.55854445562533,128.70333333333332
Cloudy (8/8),2007-07-24,-1,1300.0,15.8,61.01379075534379,25.55854445562533,174.803367003367
Mostly clear (3/8),2007-07-25,-1,1301.0,17.2,61.01379075534379,25.55854445562533,229.4851851851852
Partly cloudy (5/8),2007-07-26,-1,1302.0,19.2,61.01379075534379,25.55854445562533,179.82525252525252
Clear (0/8),2007-07-27,-1,1303.0,18.2,61.01379075534379,25.55854445562533,203.63939393939395
