Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (1/8),2004-04-02,59,92.0,-6.9,64.13945257073718,28.287481328803143,371.8666666666666
Clear (0/8),2004-04-03,59,93.0,1.5,64.13945257073718,28.287481328803143,311.26666666666665
Clear (0/8),2004-04-04,56,94.0,1,64.13945257073718,28.287481328803143,316.6
Clear (0/8),2004-04-05,55,95.0,-0.4,64.13945257073718,28.287481328803143,230.0666666666667
Clear (0/8),2004-04-06,54,96.0,1,64.13945257073718,28.287481328803143,193.9333333333333
Clear (0/8),2004-04-07,52,97.0,1.7,64.13945257073718,28.287481328803143,306.1
Clear (0/8),2004-04-08,51,98.0,1.9,64.13945257073718,28.287481328803143,286.93333333333334
Clear (0/8),2004-04-09,50,99.0,3.3,64.13945257073718,28.287481328803143,242.0
Mostly cloudy (7/8),2004-04-10,47,100.0,1.2,64.13945257073718,28.287481328803143,176.96666666666667
Mostly cloudy (7/8),2004-04-11,47,101.0,1.2,64.13945257073718,28.287481328803143,253.46666666666667
Clear (0/8),2004-04-12,46,102.0,0.2,64.13945257073718,28.287481328803143,301.0
Clear (1/8),2004-04-13,45,103.0,1.2,64.13945257073718,28.287481328803143,381.73333333333335
Mostly cloudy (7/8),2004-04-14,44,104.0,0.4,64.13945257073718,28.287481328803143,13.266666666666666
Cloudiness cannot be determined (9/8),2004-04-15,45,105.0,1.4,64.13945257073718,28.287481328803143,214.86666666666665
Mostly clear (3/8),2004-04-16,42,106.0,3.8,64.13945257073718,28.287481328803143,85.93333333333334
Mostly cloudy (7/8),2004-04-17,37,107.0,7.6,64.13945257073718,28.287481328803143,260.9
Clear (0/8),2004-04-18,35,108.0,7.5,64.13945257073718,28.287481328803143,172.36666666666667
Clear (1/8),2004-04-19,26,109.0,4.4,64.13945257073718,28.287481328803143,216.96666666666667
Clear (1/8),2004-04-20,22,110.0,2,64.13945257073718,28.287481328803143,9.266666666666666
Clear (1/8),2004-04-21,22,111.0,-0.4,64.13945257073718,28.287481328803143,194.46666666666667
Clear (0/8),2004-04-22,21,112.0,-1.4,64.13945257073718,28.287481328803143,309.1666666666667
Mostly cloudy (7/8),2004-04-23,21,113.0,-1.3,64.13945257073718,28.287481328803143,359.1666666666667
Mostly cloudy (7/8),2004-04-24,21,114.0,0,64.13945257073718,28.287481328803143,340.8666666666666
Cloudy (8/8),2004-04-25,20,115.0,2.3,64.13945257073718,28.287481328803143,306.9
Mostly cloudy (7/8),2004-04-26,19,116.0,4.6,64.13945257073718,28.287481328803143,298.1
Mostly cloudy (7/8),2004-04-27,15,117.0,5.8,64.13945257073718,28.287481328803143,303.6666666666667
Clear (0/8),2004-04-28,14,118.0,4.3,64.13945257073718,28.287481328803143,267.0
Clear (0/8),2004-04-29,10,119.0,3.4,64.13945257073718,28.287481328803143,161.1
Clear (0/8),2004-04-30,7,120.0,5.3,64.13945257073718,28.287481328803143,274.3
Mostly cloudy (7/8),2004-05-01,5,121.0,7.8,64.13945257073718,28.287481328803143,206.4666666666667
Mostly cloudy (7/8),2004-05-02,2,122.0,7.8,64.13945257073718,28.287481328803143,281.3666666666668
Cloudy (8/8),2004-05-03,0,123.0,11.5,64.13945257073718,28.287481328803143,262.0
Clear (0/8),2004-05-04,0,124.0,12.2,64.13945257073718,28.287481328803143,53.56666666666667
Mostly cloudy (7/8),2004-05-05,0,125.0,11.7,64.13945257073718,28.287481328803143,220.9333333333333
Mostly cloudy (7/8),2004-05-06,0,126.0,13.3,64.13945257073718,28.287481328803143,367.6666666666667
Partly cloudy (5/8),2004-05-07,0,127.0,13.3,64.13945257073718,28.287481328803143,273.2
Clear (0/8),2004-05-08,-1,128.0,14.6,64.13945257073718,28.287481328803143,239.1
Clear (1/8),2004-05-09,-1,129.0,11.3,64.13945257073718,28.287481328803143,186.46666666666667
Cloudy (8/8),2004-05-10,-1,130.0,-0.4,64.13945257073718,28.287481328803143,121.33333333333331
Mostly cloudy (7/8),2004-05-11,-1,131.0,-0.7,64.13945257073718,28.287481328803143,305.8666666666668
Clear (0/8),2004-05-12,-1,132.0,1,64.13945257073718,28.287481328803143,279.53333333333336
Clear (0/8),2004-05-13,-1,133.0,1.6,64.13945257073718,28.287481328803143,226.16666666666663
Mostly clear (3/8),2004-05-14,-1,134.0,3.7,64.13945257073718,28.287481328803143,100.23333333333336
Cloudy (8/8),2004-05-15,-1,135.0,3.3,64.13945257073718,28.287481328803143,184.93333333333337
Mostly cloudy (7/8),2004-05-16,-1,136.0,3.5,64.13945257073718,28.287481328803143,91.0
Mostly cloudy (7/8),2004-05-17,-1,137.0,5.7,64.13945257073718,28.287481328803143,323.9
Cloudy (8/8),2004-05-18,-1,138.0,6.4,64.13945257073718,28.287481328803143,34.7
Mostly cloudy (7/8),2004-05-19,-1,139.0,7.8,64.13945257073718,28.287481328803143,97.3
Cloudy (8/8),2004-05-20,-1,140.0,6.1,64.13945257073718,28.287481328803143,300.6666666666667
Cloudy (8/8),2004-05-21,-1,141.0,7.1,64.13945257073718,28.287481328803143,75.60000000000001
Mostly cloudy (7/8),2004-05-22,-1,142.0,7.3,64.13945257073718,28.287481328803143,81.7
Cloudy (8/8),2004-05-23,-1,143.0,6.8,64.13945257073718,28.287481328803143,154.36666666666667
Cloudy (8/8),2004-05-24,-1,144.0,6.1,64.13945257073718,28.287481328803143,194.03333333333333
Cloudy (8/8),2004-05-25,-1,145.0,5.8,64.13945257073718,28.287481328803143,218.0666666666667
Cloudy (8/8),2004-05-26,-1,146.0,8.5,64.13945257073718,28.287481328803143,307.06666666666666
Clear (0/8),2004-05-27,-1,147.0,9.4,64.13945257073718,28.287481328803143,162.70000000000002
Clear (1/8),2004-05-28,-1,148.0,9.4,64.13945257073718,28.287481328803143,265.8666666666667
Clear (1/8),2004-05-29,-1,149.0,10.2,64.13945257073718,28.287481328803143,147.73333333333332
Clear (1/8),2004-05-30,-1,150.0,5.7,64.13945257073718,28.287481328803143,204.03333333333333
Cloudy (8/8),2004-05-31,-1,151.0,7.8,64.13945257073718,28.287481328803143,106.93333333333334
Mostly cloudy (7/8),2004-06-01,-1,152.0,10.2,64.13945257073718,28.287481328803143,237.06666666666663
Mostly cloudy (7/8),2004-06-02,-1,153.0,7.9,64.13945257073718,28.287481328803143,266.90000000000003
Clear (0/8),2004-06-03,-1,154.0,9.6,64.13945257073718,28.287481328803143,344.1666666666667
Clear (0/8),2004-06-04,-1,155.0,12.8,64.13945257073718,28.287481328803143,366.56666666666666
Mostly cloudy (7/8),2004-06-05,-1,156.0,13.9,64.13945257073718,28.287481328803143,316.0
Mostly cloudy (7/8),2004-06-06,-1,157.0,10.4,64.13945257073718,28.287481328803143,112.76666666666668
Clear (0/8),2004-06-07,-1,158.0,7,64.13945257073718,28.287481328803143,55.900000000000006
Clear (0/8),2004-06-08,-1,159.0,8,64.13945257073718,28.287481328803143,46.76666666666667
Mostly cloudy (7/8),2004-06-09,-1,160.0,8.2,64.13945257073718,28.287481328803143,371.6666666666667
Clear (0/8),2004-06-10,-1,161.0,9.4,64.13945257073718,28.287481328803143,175.29999999999998
Mostly cloudy (7/8),2004-06-11,-1,162.0,12,64.13945257073718,28.287481328803143,53.46666666666667
Mostly cloudy (7/8),2004-06-12,-1,163.0,12.5,64.13945257073718,28.287481328803143,55.6
Cloudy (8/8),2004-06-13,-1,164.0,13.3,64.13945257073718,28.287481328803143,284.7
Mostly cloudy (7/8),2004-06-14,-1,165.0,9.7,64.13945257073718,28.287481328803143,126.86666666666666
Mostly clear (3/8),2004-06-15,-1,166.0,9.4,64.13945257073718,28.287481328803143,281.1
Cloudy (8/8),2004-06-16,-1,167.0,8.2,64.13945257073718,28.287481328803143,29.5
Mostly cloudy (7/8),2004-06-17,-1,168.0,8.2,64.13945257073718,28.287481328803143,126.86666666666667
Cloudy (8/8),2004-06-18,-1,169.0,8.6,64.13945257073718,28.287481328803143,162.9
Cloudy (8/8),2004-06-19,-1,170.0,11.3,64.13945257073718,28.287481328803143,219.5
Mostly cloudy (7/8),2004-06-20,-1,171.0,13,64.13945257073718,28.287481328803143,322.3666666666667
Mostly cloudy (7/8),2004-06-21,-1,172.0,13.5,64.13945257073718,28.287481328803143,140.4
Mostly cloudy (7/8),2004-06-22,-1,173.0,12.8,64.13945257073718,28.287481328803143,263.90000000000003
Mostly cloudy (7/8),2004-06-23,-1,174.0,12.5,64.13945257073718,28.287481328803143,171.03703703703704
Clear (0/8),2004-06-24,-1,175.0,14.7,64.13945257073718,28.287481328803143,222.09259259259255
Mostly cloudy (7/8),2004-06-25,-1,176.0,16.1,64.13945257073718,28.287481328803143,231.4
Mostly cloudy (7/8),2004-06-26,-1,177.0,16.2,64.13945257073718,28.287481328803143,191.83333333333331
Cloudiness cannot be determined (9/8),2004-06-27,-1,178.0,17.3,64.13945257073718,28.287481328803143,133.9
Partly cloudy (5/8),2004-06-28,-1,179.0,18.9,64.13945257073718,28.287481328803143,53.20000000000001
Partly cloudy (5/8),2004-06-29,-1,180.0,17.2,64.13945257073718,28.287481328803143,135.23333333333332
Mostly cloudy (7/8),2004-06-30,-1,181.0,18.4,64.13945257073718,28.287481328803143,39.73333333333333
Mostly cloudy (7/8),2004-07-01,-1,182.0,16,64.13945257073718,28.287481328803143,151.56666666666666
Mostly cloudy (7/8),2004-07-02,-1,183.0,17.6,64.13945257073718,28.287481328803143,252.2
Mostly cloudy (7/8),2004-07-03,-1,184.0,17.8,64.13945257073718,28.287481328803143,12.4
Mostly clear (3/8),2004-07-04,-1,185.0,16.1,64.13945257073718,28.287481328803143,231.03333333333333
Clear (0/8),2004-07-05,-1,186.0,15.4,64.13945257073718,28.287481328803143,207.46666666666667
Mostly cloudy (7/8),2004-07-06,-1,187.0,14.9,64.13945257073718,28.287481328803143,203.73333333333332
Mostly clear (3/8),2004-07-07,-1,188.0,14,64.13945257073718,28.287481328803143,119.23333333333336
Mostly cloudy (7/8),2004-07-08,-1,189.0,14.5,64.13945257073718,28.287481328803143,302.06666666666666
Clear (0/8),2004-07-09,-1,190.0,13.6,64.13945257073718,28.287481328803143,124.63333333333333
Partly cloudy (5/8),2004-07-10,-1,191.0,16.1,64.13945257073718,28.287481328803143,119.13333333333333
Clear (0/8),2004-07-11,-1,192.0,15.4,64.13945257073718,28.287481328803143,97.86666666666667
Cloudy (8/8),2004-07-12,-1,193.0,14.2,64.13945257073718,28.287481328803143,153.3
Mostly clear (3/8),2004-07-13,-1,194.0,16.6,64.13945257073718,28.287481328803143,121.5
Clear (1/8),2004-07-14,-1,195.0,14.8,64.13945257073718,28.287481328803143,129.1
Clear (0/8),2004-07-15,-1,196.0,-,64.13945257073718,28.287481328803143,202.5666666666667
Clear (0/8),2004-07-16,-1,197.0,13.1,64.13945257073718,28.287481328803143,253.6
Clear (0/8),2004-07-17,-1,198.0,-,64.13945257073718,28.287481328803143,156.6
Clear (0/8),2004-07-18,-1,199.0,-,64.13945257073718,28.287481328803143,360.8666666666666
Clear (0/8),2004-07-19,-1,200.0,16.5,64.13945257073718,28.287481328803143,203.43333333333337
Clear (0/8),2004-07-20,-1,201.0,16.7,64.13945257073718,28.287481328803143,170.5
Clear (1/8),2004-07-21,-1,202.0,16,64.13945257073718,28.287481328803143,124.09999999999998
Clear (0/8),2004-07-22,-1,203.0,15.2,64.13945257073718,28.287481328803143,190.30000000000004
Clear (0/8),2004-07-23,-1,204.0,15.3,64.13945257073718,28.287481328803143,239.4333333333333
-,2004-07-24,-1,205.0,17.7,64.13945257073718,28.287481328803143,197.13333333333333
Cloudy (8/8),2004-07-25,-1,206.0,17.8,64.13945257073718,28.287481328803143,120.16666666666669
Mostly cloudy (7/8),2004-07-26,-1,207.0,18.1,64.13945257073718,28.287481328803143,142.0
Cloudy (8/8),2004-07-27,-1,208.0,17.8,64.13945257073718,28.287481328803143,85.13333333333333
Mostly cloudy (7/8),2004-07-28,-1,209.0,16,64.13945257073718,28.287481328803143,9.033333333333331
Cloudy (8/8),2004-07-29,-1,210.0,14.8,64.13945257073718,28.287481328803143,8.866666666666667
Mostly cloudy (7/8),2004-07-30,-1,211.0,17.2,64.13945257073718,28.287481328803143,165.9
Mostly cloudy (7/8),2004-07-31,-1,212.0,17.1,64.13945257073718,28.287481328803143,162.66666666666666
Clear (0/8),2004-08-01,-1,213.0,18,64.13945257073718,28.287481328803143,273.1666666666667
Cloudy (8/8),2004-08-02,-1,214.0,17.5,64.13945257073718,28.287481328803143,236.4333333333333
Mostly cloudy (7/8),2004-08-03,-1,215.0,19.6,64.13945257073718,28.287481328803143,91.7
Mostly cloudy (7/8),2004-08-04,-1,216.0,18.3,64.13945257073718,28.287481328803143,218.30000000000004
Cloudy (8/8),2004-08-05,-1,217.0,18.5,64.13945257073718,28.287481328803143,269.1
Mostly cloudy (7/8),2004-08-06,-1,218.0,19.1,64.13945257073718,28.287481328803143,310.13333333333327
Mostly cloudy (7/8),2004-08-07,-1,219.0,20.7,64.13945257073718,28.287481328803143,254.7333333333333
Clear (0/8),2004-08-08,-1,220.0,18.2,64.13945257073718,28.287481328803143,164.53333333333333
Clear (0/8),2004-08-09,-1,221.0,15.3,64.13945257073718,28.287481328803143,209.76666666666668
Mostly cloudy (7/8),2004-08-10,-1,222.0,15.3,64.13945257073718,28.287481328803143,257.6
Clear (0/8),2004-08-11,-1,223.0,13.3,64.13945257073718,28.287481328803143,130.83333333333334
Clear (0/8),2004-08-12,-1,224.0,11.5,64.13945257073718,28.287481328803143,189.3
Mostly cloudy (7/8),2004-08-13,-1,225.0,10,64.13945257073718,28.287481328803143,216.1
Cloudy (8/8),2004-08-14,-1,226.0,9.1,64.13945257073718,28.287481328803143,257.96666666666664
Clear (0/8),2004-08-15,-1,227.0,9,64.13945257073718,28.287481328803143,171.13333333333333
Cloudy (8/8),2004-08-16,-1,228.0,9.2,64.13945257073718,28.287481328803143,188.13333333333333
Clear (0/8),2004-08-17,-1,,,64.13945257073718,28.287481328803143,25.1
Cloudy (8/8),2004-08-18,-1,,,64.13945257073718,28.287481328803143,54.0
Clear (1/8),2004-08-19,-1,229.0,-,64.13945257073718,28.287481328803143,124.86666666666667
Mostly cloudy (7/8),2004-08-20,-1,230.0,11.8,64.13945257073718,28.287481328803143,102.3
Clear (0/8),2004-08-21,-1,231.0,14,64.13945257073718,28.287481328803143,116.46666666666668
Mostly clear (3/8),2004-08-22,-1,232.0,15.2,64.13945257073718,28.287481328803143,121.56666666666666
Mostly cloudy (7/8),2004-08-23,-1,233.0,12.4,64.13945257073718,28.287481328803143,145.66666666666666
Cloudy (8/8),2004-08-24,-1,234.0,8.5,64.13945257073718,28.287481328803143,225.9666666666667
Clear (0/8),2004-08-25,-1,235.0,9.8,64.13945257073718,28.287481328803143,189.9666666666667
Clear (0/8),2004-08-26,-1,236.0,8.9,64.13945257073718,28.287481328803143,3.366666666666667
Clear (0/8),2004-08-27,-1,237.0,10.9,64.13945257073718,28.287481328803143,134.06666666666666
Cloudy (8/8),2004-08-28,-1,238.0,13.3,64.13945257073718,28.287481328803143,50.06666666666666
Mostly cloudy (7/8),2004-08-29,-1,239.0,14.1,64.13945257073718,28.287481328803143,185.03333333333333
Clear (0/8),2004-08-30,-1,240.0,13.8,64.13945257073718,28.287481328803143,90.96666666666664
Cloudy (8/8),2004-08-31,-1,241.0,15.8,64.13945257073718,28.287481328803143,131.53333333333333
Partly cloudy (5/8),2004-09-01,-1,242.0,17.9,64.13945257073718,28.287481328803143,34.833333333333336
Mostly cloudy (7/8),2004-09-02,-1,243.0,16.8,64.13945257073718,28.287481328803143,15.16666666666667
Clear (1/8),2004-09-03,-1,244.0,13.4,64.13945257073718,28.287481328803143,25.3
Clear (0/8),2004-09-04,-1,245.0,9.7,64.13945257073718,28.287481328803143,97.83333333333331
Cloudy (8/8),2004-09-05,-1,246.0,14.6,64.13945257073718,28.287481328803143,126.8
Partly cloudy (5/8),2004-09-06,-1,247.0,12.9,64.13945257073718,28.287481328803143,100.9
Clear (0/8),2004-09-07,-1,248.0,9.7,64.13945257073718,28.287481328803143,157.33333333333334
Partly cloudy (5/8),2004-09-08,-1,249.0,6.2,64.13945257073718,28.287481328803143,171.26666666666665
Mostly clear (3/8),2004-09-09,-1,250.0,6.5,64.13945257073718,28.287481328803143,108.33333333333331
Cloudy (8/8),2004-09-10,-1,251.0,11.7,64.13945257073718,28.287481328803143,159.20000000000002
Clear (0/8),2004-09-11,-1,252.0,8.4,64.13945257073718,28.287481328803143,242.46666666666667
Clear (0/8),2004-09-12,-1,253.0,8,64.13945257073718,28.287481328803143,9.7
Cloudy (8/8),2004-09-13,-1,254.0,8.7,64.13945257073718,28.287481328803143,109.36666666666667
Clear (0/8),2004-09-14,-1,255.0,9,64.13945257073718,28.287481328803143,81.66666666666667
Mostly cloudy (7/8),2004-09-15,-1,256.0,10.2,64.13945257073718,28.287481328803143,137.66666666666666
Mostly cloudy (7/8),2004-09-16,-1,257.0,8.1,64.13945257073718,28.287481328803143,160.58666666666667
Clear (0/8),2004-09-17,-1,258.0,5.2,64.13945257073718,28.287481328803143,79.96666666666667
Cloudy (8/8),2004-09-18,-1,259.0,7.1,64.13945257073718,28.287481328803143,2.833333333333333
Mostly cloudy (7/8),2004-09-19,-1,260.0,9.8,64.13945257073718,28.287481328803143,17.233333333333334
