Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2021-06-27,-1,6363.0,20,61.8796121360518,25.299436616956275,241.30000000000004
Clear (0/8),2021-06-28,-1,6364.0,19.1,61.8796121360518,25.299436616956275,482.9666666666667
Clear (0/8),2021-06-29,-1,6365.0,20.1,61.8796121360518,25.299436616956275,461.8333333333333
Clear (0/8),2021-06-30,-1,6366.0,17.7,61.8796121360518,25.299436616956275,275.2
Mostly cloudy (7/8),2021-07-01,-1,6367.0,17.2,61.8796121360518,25.299436616956275,452.1333333333334
Clear (0/8),2021-07-02,-1,6368.0,18.7,61.8796121360518,25.299436616956275,443.3
Clear (0/8),2021-07-03,-1,6369.0,21.9,61.8796121360518,25.299436616956275,522.7666666666667
Clear (0/8),2021-07-04,-1,6370.0,22.3,61.8796121360518,25.299436616956275,522.5333333333334
Clear (0/8),2021-07-05,-1,6371.0,22.9,61.8796121360518,25.299436616956275,426.26666666666665
Clear (0/8),2021-07-06,-1,6372.0,23,61.8796121360518,25.299436616956275,139.53333333333333
Cloudy (8/8),2021-07-07,-1,6373.0,23.6,61.8796121360518,25.299436616956275,257.90000000000003
Mostly cloudy (7/8),2021-07-08,-1,6374.0,20.1,61.8796121360518,25.299436616956275,162.76666666666665
Clear (1/8),2021-07-09,-1,6375.0,21.6,61.8796121360518,25.299436616956275,182.9
Cloudy (8/8),2021-07-10,-1,6376.0,21.2,61.8796121360518,25.299436616956275,346.2
Mostly clear (3/8),2021-07-11,-1,6377.0,23,61.8796121360518,25.299436616956275,253.2
Clear (0/8),2021-07-12,-1,6378.0,21.2,61.8796121360518,25.299436616956275,335.6333333333333
Clear (0/8),2021-07-13,-1,6379.0,23.1,61.8796121360518,25.299436616956275,386.06666666666666
Clear (0/8),2021-07-14,-1,6380.0,23.3,61.8796121360518,25.299436616956275,403.6
Clear (0/8),2021-07-15,-1,6381.0,24.6,61.8796121360518,25.299436616956275,265.03333333333336
Mostly clear (3/8),2021-07-16,-1,6382.0,19.7,61.8796121360518,25.299436616956275,382.6333333333334
Clear (0/8),2021-07-17,-1,6383.0,19.3,61.8796121360518,25.299436616956275,341.93333333333334
Clear (0/8),2021-07-18,-1,6384.0,17.3,61.8796121360518,25.299436616956275,220.30000000000004
Clear (0/8),2021-07-19,-1,6385.0,14.7,61.8796121360518,25.299436616956275,192.7
Mostly cloudy (7/8),2021-07-20,-1,6386.0,14.5,61.8796121360518,25.299436616956275,167.13333333333333
Clear (0/8),2021-07-21,-1,6387.0,13.8,61.8796121360518,25.299436616956275,252.3
Clear (0/8),2021-07-22,-1,6388.0,14.6,61.8796121360518,25.299436616956275,204.33333333333331
Mostly cloudy (7/8),2021-07-23,-1,6389.0,14.6,61.8796121360518,25.299436616956275,173.0
Clear (0/8),2021-07-24,-1,6390.0,15.5,61.8796121360518,25.299436616956275,262.1333333333333
Clear (0/8),2021-07-25,-1,6391.0,20.2,61.8796121360518,25.299436616956275,280.56666666666666
Clear (1/8),2021-07-26,-1,6392.0,22,61.8796121360518,25.299436616956275,281.1
Clear (0/8),2021-07-27,-1,6393.0,23.1,61.8796121360518,25.299436616956275,364.86666666666673
Clear (0/8),2021-07-28,-1,6394.0,20,61.8796121360518,25.299436616956275,169.9333333333333
Partly cloudy (4/8),2021-07-29,-1,6395.0,17.1,61.8796121360518,25.299436616956275,190.66666666666663
Mostly clear (3/8),2021-07-30,-1,6396.0,16.5,61.8796121360518,25.299436616956275,63.4
Mostly cloudy (7/8),2021-07-31,-1,6397.0,16.5,61.8796121360518,25.299436616956275,169.76666666666665
Clear (0/8),2021-08-01,-1,6398.0,16,61.8796121360518,25.299436616956275,143.6
Mostly cloudy (6/8),2021-08-02,-1,6399.0,16.9,61.8796121360518,25.299436616956275,199.23333333333332
Mostly cloudy (7/8),2021-08-03,-1,6400.0,12.6,61.8796121360518,25.299436616956275,57.96666666666667
Clear (0/8),2021-08-04,-1,6401.0,14,61.8796121360518,25.299436616956275,199.16666666666663
Clear (0/8),2021-08-05,-1,6402.0,14.2,61.8796121360518,25.299436616956275,293.8666666666667
Clear (0/8),2021-08-06,-1,6403.0,16,61.8796121360518,25.299436616956275,337.2333333333333
Clear (0/8),2021-08-07,-1,6404.0,16,61.8796121360518,25.299436616956275,198.5666666666667
Cloudy (8/8),2021-08-08,-1,6405.0,17,61.8796121360518,25.299436616956275,128.46666666666667
Partly cloudy (5/8),2021-08-09,-1,6406.0,17.1,61.8796121360518,25.299436616956275,43.1
