Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2004-05-10,0,130,-1.2,68.42513494822931,27.44966181554389,121.33333333333331
Clear (0/8),2004-05-11,0,131,-2.2,68.42513494822931,27.44966181554389,305.8666666666668
Clear (0/8),2004-05-12,-1,132,-2.0,68.42513494822931,27.44966181554389,279.53333333333336
Mostly cloudy (7/8),2004-05-13,4,133,-1.1,68.42513494822931,27.44966181554389,226.16666666666663
Cloudy (8/8),2004-05-14,2,134,-0.5,68.42513494822931,27.44966181554389,100.23333333333336
Cloudy (8/8),2004-05-15,10,135,0.5,68.42513494822931,27.44966181554389,184.93333333333337
Cloudiness cannot be determined (9/8),2004-05-16,5,136,0.3,68.42513494822931,27.44966181554389,91.0
Clear (0/8),2004-05-17,0,137,1.9,68.42513494822931,27.44966181554389,323.9
Cloudy (8/8),2004-05-18,0,138,3.1,68.42513494822931,27.44966181554389,34.7
Cloudy (8/8),2004-05-19,-1,139,6.7,68.42513494822931,27.44966181554389,97.3
Partly cloudy (5/8),2004-05-20,-1,140,8.0,68.42513494822931,27.44966181554389,300.6666666666667
Cloudy (8/8),2004-05-21,-1,141,5.5,68.42513494822931,27.44966181554389,75.60000000000001
Mostly cloudy (7/8),2004-05-22,-1,142,2.4,68.42513494822931,27.44966181554389,81.7
Cloudy (8/8),2004-05-23,0,143,0.9,68.42513494822931,27.44966181554389,154.36666666666667
Cloudy (8/8),2004-05-24,-1,144,1.2,68.42513494822931,27.44966181554389,194.03333333333333
Cloudy (8/8),2004-05-25,-1,145,2.0,68.42513494822931,27.44966181554389,218.0666666666667
Cloudy (8/8),2004-05-26,-1,146,3.5,68.42513494822931,27.44966181554389,307.06666666666666
Partly cloudy (5/8),2004-05-27,-1,147,4.8,68.42513494822931,27.44966181554389,162.70000000000002
Clear (0/8),2004-05-28,-1,148,4.3,68.42513494822931,27.44966181554389,265.8666666666667
Mostly clear (3/8),2004-05-29,-1,149,3.0,68.42513494822931,27.44966181554389,147.73333333333332
Cloudy (8/8),2004-05-30,-1,150,4.3,68.42513494822931,27.44966181554389,204.03333333333333
Mostly cloudy (7/8),2004-05-31,-1,151,5.9,68.42513494822931,27.44966181554389,106.93333333333334
Mostly cloudy (7/8),2004-06-01,-1,152,5.4,68.42513494822931,27.44966181554389,237.06666666666663
Mostly cloudy (7/8),2004-06-02,-1,153,4.3,68.42513494822931,27.44966181554389,266.90000000000003
-,2004-06-03,-1,154,8.2,68.42513494822931,27.44966181554389,344.1666666666667
Partly cloudy (5/8),2004-06-04,-1,155,5.1,68.42513494822931,27.44966181554389,366.56666666666666
Mostly cloudy (7/8),2004-06-05,-1,156,5.3,68.42513494822931,27.44966181554389,316.0
Mostly cloudy (7/8),2004-06-06,-1,157,3.7,68.42513494822931,27.44966181554389,112.76666666666668
Mostly cloudy (7/8),2004-06-07,0,158,1.9,68.42513494822931,27.44966181554389,55.900000000000006
Clear (1/8),2004-06-08,-1,159,3.6,68.42513494822931,27.44966181554389,46.76666666666667
Clear (0/8),2004-06-09,-1,160,5.4,68.42513494822931,27.44966181554389,371.6666666666667
Mostly cloudy (7/8),2004-06-10,-1,161,6.5,68.42513494822931,27.44966181554389,175.29999999999998
Mostly cloudy (7/8),2004-06-11,-1,162,9.9,68.42513494822931,27.44966181554389,53.46666666666667
Mostly cloudy (7/8),2004-06-12,-1,163,11.3,68.42513494822931,27.44966181554389,55.6
Cloudy (8/8),2004-06-13,-1,164,9.9,68.42513494822931,27.44966181554389,284.7
Partly cloudy (5/8),2004-06-14,-1,165,8.7,68.42513494822931,27.44966181554389,126.86666666666666
Cloudy (8/8),2004-06-15,-1,166,5.7,68.42513494822931,27.44966181554389,281.1
Partly cloudy (5/8),2004-06-16,-1,167,3.0,68.42513494822931,27.44966181554389,29.5
Mostly cloudy (7/8),2004-06-17,-1,168,5.4,68.42513494822931,27.44966181554389,126.86666666666667
Cloudy (8/8),2004-06-18,-1,169,8.5,68.42513494822931,27.44966181554389,162.9
Partly cloudy (5/8),2004-06-19,-1,170,11.1,68.42513494822931,27.44966181554389,219.5
Clear (1/8),2004-06-20,-1,171,12.9,68.42513494822931,27.44966181554389,322.3666666666667
Mostly cloudy (7/8),2004-06-21,-1,172,13.6,68.42513494822931,27.44966181554389,140.4
Clear (0/8),2004-06-22,-1,173,14.3,68.42513494822931,27.44966181554389,263.90000000000003
Mostly cloudy (7/8),2004-06-23,-1,174,13.2,68.42513494822931,27.44966181554389,171.03703703703704
Mostly cloudy (7/8),2004-06-24,-1,175,12.9,68.42513494822931,27.44966181554389,222.09259259259255
Clear (0/8),2004-06-25,-1,176,13.2,68.42513494822931,27.44966181554389,231.4
Partly cloudy (5/8),2004-06-26,-1,177,16.1,68.42513494822931,27.44966181554389,191.83333333333331
Partly cloudy (5/8),2004-06-27,-1,178,15.8,68.42513494822931,27.44966181554389,133.9
Cloudy (8/8),2004-06-28,-1,179,9.0,68.42513494822931,27.44966181554389,53.20000000000001
Mostly cloudy (7/8),2004-06-29,-1,180,6.4,68.42513494822931,27.44966181554389,135.23333333333332
Cloudy (8/8),2004-06-30,-1,181,11.6,68.42513494822931,27.44966181554389,39.73333333333333
Clear (0/8),2004-07-01,-1,182,20.4,68.42513494822931,27.44966181554389,151.56666666666666
Mostly cloudy (7/8),2004-07-02,-1,183,18.7,68.42513494822931,27.44966181554389,252.2
Clear (0/8),2004-07-03,-1,184,16.8,68.42513494822931,27.44966181554389,12.4
Clear (0/8),2004-07-04,-1,185,17.1,68.42513494822931,27.44966181554389,231.03333333333333
Clear (1/8),2004-07-05,-1,186,17.4,68.42513494822931,27.44966181554389,207.46666666666667
Clear (1/8),2004-07-06,-1,187,17.7,68.42513494822931,27.44966181554389,203.73333333333332
Partly cloudy (5/8),2004-07-07,-1,188,17.1,68.42513494822931,27.44966181554389,119.23333333333336
Partly cloudy (5/8),2004-07-08,-1,189,15.9,68.42513494822931,27.44966181554389,302.06666666666666
Clear (1/8),2004-07-09,-1,190,12.5,68.42513494822931,27.44966181554389,124.63333333333333
Mostly cloudy (7/8),2004-07-10,-1,191,13.3,68.42513494822931,27.44966181554389,119.13333333333333
Clear (0/8),2004-07-11,-1,192,10.9,68.42513494822931,27.44966181554389,97.86666666666667
Cloudy (8/8),2004-07-12,-1,193,13.3,68.42513494822931,27.44966181554389,153.3
Mostly cloudy (7/8),2004-07-13,-1,194,13.9,68.42513494822931,27.44966181554389,121.5
Clear (0/8),2004-07-14,-1,195,16.0,68.42513494822931,27.44966181554389,129.1
Cloudy (8/8),2004-07-15,-1,196,16.0,68.42513494822931,27.44966181554389,202.5666666666667
Mostly cloudy (7/8),2004-07-16,-1,197,13.1,68.42513494822931,27.44966181554389,253.6
Cloudy (8/8),2004-07-17,-1,198,14.0,68.42513494822931,27.44966181554389,156.6
Partly cloudy (5/8),2004-07-18,-1,199,14.2,68.42513494822931,27.44966181554389,360.8666666666666
Clear (0/8),2004-07-19,-1,200,18.2,68.42513494822931,27.44966181554389,203.43333333333337
Mostly cloudy (7/8),2004-07-20,-1,201,19.2,68.42513494822931,27.44966181554389,170.5
Partly cloudy (5/8),2004-07-21,-1,202,14.7,68.42513494822931,27.44966181554389,124.09999999999998
Cloudy (8/8),2004-07-22,-1,203,11.5,68.42513494822931,27.44966181554389,190.30000000000004
Clear (0/8),2004-07-23,-1,204,17.1,68.42513494822931,27.44966181554389,239.4333333333333
-,2004-07-24,-1,205,18.5,68.42513494822931,27.44966181554389,197.13333333333333
Clear (1/8),2004-07-25,-1,206,18.8,68.42513494822931,27.44966181554389,120.16666666666669
Partly cloudy (5/8),2004-07-26,-1,207,19.4,68.42513494822931,27.44966181554389,142.0
Clear (1/8),2004-07-27,-1,208,18.0,68.42513494822931,27.44966181554389,85.13333333333333
Mostly cloudy (7/8),2004-07-28,-1,209,14.1,68.42513494822931,27.44966181554389,9.033333333333331
Mostly cloudy (7/8),2004-07-29,-1,210,14.4,68.42513494822931,27.44966181554389,8.866666666666667
Clear (0/8),2004-07-30,-1,211,15.6,68.42513494822931,27.44966181554389,165.9
Clear (0/8),2004-07-31,-1,212,19.6,68.42513494822931,27.44966181554389,162.66666666666666
Clear (0/8),2004-08-01,-1,213,19.3,68.42513494822931,27.44966181554389,273.1666666666667
Clear (0/8),2004-08-02,-1,214,19.1,68.42513494822931,27.44966181554389,236.4333333333333
Mostly cloudy (7/8),2004-08-03,-1,215,16.8,68.42513494822931,27.44966181554389,91.7
Mostly cloudy (7/8),2004-08-04,-1,216,16.6,68.42513494822931,27.44966181554389,218.30000000000004
Mostly cloudy (7/8),2004-08-05,-1,217,17.9,68.42513494822931,27.44966181554389,269.1
Clear (0/8),2004-08-06,-1,218,20.2,68.42513494822931,27.44966181554389,310.13333333333327
Mostly clear (3/8),2004-08-07,-1,219,16.1,68.42513494822931,27.44966181554389,254.7333333333333
Mostly cloudy (7/8),2004-08-08,-1,220,12.2,68.42513494822931,27.44966181554389,164.53333333333333
Cloudy (8/8),2004-08-09,-1,221,10.9,68.42513494822931,27.44966181554389,209.76666666666668
Cloudy (8/8),2004-08-10,-1,222,12.1,68.42513494822931,27.44966181554389,257.6
Mostly cloudy (7/8),2004-08-11,-1,223,10.7,68.42513494822931,27.44966181554389,130.83333333333334
Cloudy (8/8),2004-08-12,-1,224,8.5,68.42513494822931,27.44966181554389,189.3
