Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
-,2016-01-31,64,-3.2,66.16575626929145,29.152157226680888,5.772727272727273
-,2016-02-01,69,-6.1,66.16575626929145,29.152157226680888,35.56481481481482
-,2016-02-02,67,-7.5,66.16575626929145,29.152157226680888,4.166666666666667
-,2016-02-03,66,-7.4,66.16575626929145,29.152157226680888,13.078787878787878
Cloudy (8/8),2016-02-04,64,-9.4,66.16575626929145,29.152157226680888,32.01515151515152
Cloudy (8/8),2016-02-05,65,-12.7,66.16575626929145,29.152157226680888,34.6
Cloudy (8/8),2016-02-06,65,-10,66.16575626929145,29.152157226680888,12.124242424242423
Cloudy (8/8),2016-02-07,66,-5.2,66.16575626929145,29.152157226680888,5.415151515151515
Cloudy (8/8),2016-02-08,66,-0.5,66.16575626929145,29.152157226680888,4.87
Cloudy (8/8),2016-02-09,62,-1.3,66.16575626929145,29.152157226680888,8.726666666666667
-,2016-02-10,61,-0.8,66.16575626929145,29.152157226680888,15.663333333333334
Cloudy (8/8),2016-02-11,61,-1,66.16575626929145,29.152157226680888,13.08181818181818
Cloudy (8/8),2016-02-12,61,-2.5,66.16575626929145,29.152157226680888,12.93030303030303
Cloudy (8/8),2016-02-13,69,-3.4,66.16575626929145,29.152157226680888,81.81212121212121
Cloudy (8/8),2016-02-14,68,-4.2,66.16575626929145,29.152157226680888,20.836363636363632
Cloudy (8/8),2016-02-15,72,-4.3,66.16575626929145,29.152157226680888,22.863636363636363
Cloudy (8/8),2016-02-16,71,-7.1,66.16575626929145,29.152157226680888,130.4212121212121
Clear (0/8),2016-02-17,69,-8.7,66.16575626929145,29.152157226680888,83.83333333333334
Cloudy (8/8),2016-02-18,69,-5.1,66.16575626929145,29.152157226680888,20.55757575757576
Cloudy (8/8),2016-02-19,67,-4.2,66.16575626929145,29.152157226680888,11.463636363636368
Cloudy (8/8),2016-02-20,67,-4,66.16575626929145,29.152157226680888,15.993939393939394
Cloudy (8/8),2016-02-21,69,-5.6,66.16575626929145,29.152157226680888,24.51515151515152
Cloudy (8/8),2016-02-22,72,-8.6,66.16575626929145,29.152157226680888,25.25757575757576
Mostly cloudy (7/8),2016-02-23,73,-8.4,66.16575626929145,29.152157226680888,39.083333333333336
Mostly cloudy (7/8),2016-02-24,73,-10.9,66.16575626929145,29.152157226680888,15.733333333333333
Cloudy (8/8),2016-02-25,74,-8.8,66.16575626929145,29.152157226680888,24.709090909090914
Cloudy (8/8),2016-02-26,76,-9,66.16575626929145,29.152157226680888,42.90303030303031
Cloudy (8/8),2016-02-27,76,-6.9,66.16575626929145,29.152157226680888,174.25757575757575
Cloudy (8/8),2016-02-28,75,-8,66.16575626929145,29.152157226680888,85.51515151515152
Cloudy (8/8),2016-02-29,73,-12.8,66.16575626929145,29.152157226680888,221.2555555555556
Cloudy (8/8),2016-03-01,73,-7.2,66.16575626929145,29.152157226680888,115.62222222222222
Cloudy (8/8),2016-03-02,73,-9,66.16575626929145,29.152157226680888,83.62666666666667
Cloudy (8/8),2016-03-03,72,-11.3,66.16575626929145,29.152157226680888,39.72666666666667
Cloudy (8/8),2016-03-04,72,-10.6,66.16575626929145,29.152157226680888,34.559999999999995
Cloudy (8/8),2016-03-05,71,-6.9,66.16575626929145,29.152157226680888,27.96333333333333
Cloudy (8/8),2016-03-06,74,-4.8,66.16575626929145,29.152157226680888,36.046666666666674
Cloudy (8/8),2016-03-07,75,-5.5,66.16575626929145,29.152157226680888,30.323333333333338
Cloudy (8/8),2016-03-08,76,-2.3,66.16575626929145,29.152157226680888,30.276666666666667
Cloudy (8/8),2016-03-09,75,-2.3,66.16575626929145,29.152157226680888,52.60999999999999
Cloudiness cannot be determined (9/8),2016-03-10,74,-3,66.16575626929145,29.152157226680888,30.2
Cloudy (8/8),2016-03-11,74,-3.5,66.16575626929145,29.152157226680888,44.68333333333334
Cloudy (8/8),2016-03-12,74,-3.3,66.16575626929145,29.152157226680888,147.83
Cloudy (8/8),2016-03-13,73,-5,66.16575626929145,29.152157226680888,97.84
Cloudy (8/8),2016-03-14,75,-3.1,66.16575626929145,29.152157226680888,87.24666666666667
Cloudy (8/8),2016-03-15,74,-0.7,66.16575626929145,29.152157226680888,160.29
Clear (0/8),2016-03-16,72,-0.7,66.16575626929145,29.152157226680888,190.3166666666667
Mostly cloudy (7/8),2016-03-17,71,-8.2,66.16575626929145,29.152157226680888,145.85
Mostly clear (2/8),2016-03-18,71,-10.2,66.16575626929145,29.152157226680888,146.85
-,2016-03-19,71,-10.4,66.16575626929145,29.152157226680888,170.84666666666666
-,2016-03-20,71,-9.2,66.16575626929145,29.152157226680888,125.15333333333332
-,2016-03-21,70,-9.3,66.16575626929145,29.152157226680888,114.88
Clear (0/8),2016-03-22,70,-9.2,66.16575626929145,29.152157226680888,269.48
Clear (1/8),2016-03-23,71,-8.5,66.16575626929145,29.152157226680888,78.93333333333334
Cloudy (8/8),2016-03-24,70,-7.7,66.16575626929145,29.152157226680888,49.43
Cloudy (8/8),2016-03-25,70,-4.2,66.16575626929145,29.152157226680888,58.223333333333336
Cloudy (8/8),2016-03-26,72,-1.7,66.16575626929145,29.152157226680888,43.803333333333335
Cloudy (8/8),2016-03-27,71,0.3,66.16575626929145,29.152157226680888,164.97
Mostly cloudy (6/8),2016-03-28,70,0.4,66.16575626929145,29.152157226680888,150.53703703703704
Clear (0/8),2016-03-29,69,2,66.16575626929145,29.152157226680888,226.5740740740741
-,2016-03-30,67,1.8,66.16575626929145,29.152157226680888,59.8
-,2016-03-31,66,-1.3,66.16575626929145,29.152157226680888,113.32
Cloudy (8/8),2016-04-01,65,-0.1,66.16575626929145,29.152157226680888,53.23333333333333
Cloudy (8/8),2016-04-02,64,-0.7,66.16575626929145,29.152157226680888,283.53000000000003
Cloudy (8/8),2016-04-03,64,-0.2,66.16575626929145,29.152157226680888,70.16333333333334
Clear (0/8),2016-04-04,63,0.4,66.16575626929145,29.152157226680888,207.1733333333333
Cloudy (8/8),2016-04-05,63,0,66.16575626929145,29.152157226680888,50.98666666666666
Cloudy (8/8),2016-04-06,64,-0.8,66.16575626929145,29.152157226680888,96.64333333333332
Cloudy (8/8),2016-04-07,63,0.7,66.16575626929145,29.152157226680888,92.31333333333336
Cloudy (8/8),2016-04-08,59,-0.1,66.16575626929145,29.152157226680888,121.16
Cloudy (8/8),2016-04-09,55,-0.3,66.16575626929145,29.152157226680888,37.85
Cloudy (8/8),2016-04-10,54,-1.1,66.16575626929145,29.152157226680888,244.37
Cloudy (8/8),2016-04-11,51,-0.1,66.16575626929145,29.152157226680888,278.3966666666667
Cloudy (8/8),2016-04-12,51,-0.6,66.16575626929145,29.152157226680888,265.3
Mostly clear (2/8),2016-04-13,49,-4.9,66.16575626929145,29.152157226680888,304.0733333333333
-,2016-04-14,50,-4.3,66.16575626929145,29.152157226680888,289.31666666666666
Clear (0/8),2016-04-15,50,-3.5,66.16575626929145,29.152157226680888,143.50666666666666
Clear (0/8),2016-04-16,49,0.8,66.16575626929145,29.152157226680888,225.47
Cloudy (8/8),2016-04-17,49,3.6,66.16575626929145,29.152157226680888,60.056666666666665
Cloudy (8/8),2016-04-18,46,1.3,66.16575626929145,29.152157226680888,73.17
Cloudy (8/8),2016-04-19,44,-0.2,66.16575626929145,29.152157226680888,151.76999999999998
Cloudy (8/8),2016-04-20,45,-1.1,66.16575626929145,29.152157226680888,93.73
-,2016-04-21,42,-2.3,66.16575626929145,29.152157226680888,250.00333333333333
Mostly cloudy (6/8),2016-04-22,42,-3.5,66.16575626929145,29.152157226680888,173.01
Clear (1/8),2016-04-23,42,-3.6,66.16575626929145,29.152157226680888,126.55666666666666
Mostly cloudy (7/8),2016-04-24,42,-3,66.16575626929145,29.152157226680888,160.12
Cloudy (8/8),2016-04-25,42,-1.9,66.16575626929145,29.152157226680888,149.89333333333332
Cloudy (8/8),2016-04-26,40,3,66.16575626929145,29.152157226680888,78.72666666666667
Clear (0/8),2016-04-27,34,6.2,66.16575626929145,29.152157226680888,189.85
Cloudy (8/8),2016-04-28,24,6.9,66.16575626929145,29.152157226680888,110.09
Mostly clear (3/8),2016-04-29,16,8.8,66.16575626929145,29.152157226680888,279.8533333333333
Partly cloudy (5/8),2016-04-30,9,9.8,66.16575626929145,29.152157226680888,205.59666666666664
Clear (0/8),2016-05-01,3,6.1,66.16575626929145,29.152157226680888,402.5589743589744
-,2016-05-02,-1,5.3,66.16575626929145,29.152157226680888,324.68333333333334
Cloudiness cannot be determined (9/8),2016-05-03,-1,6.1,66.16575626929145,29.152157226680888,329.3866666666667
Clear (1/8),2016-05-04,-1,8.8,66.16575626929145,29.152157226680888,372.82
Clear (0/8),2016-05-05,-1,9.1,66.16575626929145,29.152157226680888,378.3933333333334
Clear (0/8),2016-05-06,-1,10.3,66.16575626929145,29.152157226680888,350.2733333333333
Partly cloudy (5/8),2016-05-07,-1,9,66.16575626929145,29.152157226680888,327.7866666666667
Mostly cloudy (7/8),2016-05-08,-1,10.6,66.16575626929145,29.152157226680888,397.68666666666667
Clear (0/8),2016-05-09,-1,6.5,66.16575626929145,29.152157226680888,327.27666666666664
Cloudy (8/8),2016-05-10,-1,3.3,66.16575626929145,29.152157226680888,315.4533333333334
Cloudy (8/8),2016-05-11,-1,3.6,66.16575626929145,29.152157226680888,266.13
Clear (0/8),2016-05-12,-1,7.1,66.16575626929145,29.152157226680888,345.76000000000005
Clear (1/8),2016-05-13,-1,7.3,66.16575626929145,29.152157226680888,341.8066666666667
Cloudy (8/8),2016-05-14,-1,10,66.16575626929145,29.152157226680888,77.52
Partly cloudy (5/8),2016-05-15,-1,7.2,66.16575626929145,29.152157226680888,113.92
Cloudy (8/8),2016-05-16,-1,6.3,66.16575626929145,29.152157226680888,146.1
Mostly cloudy (7/8),2016-05-17,-1,5.8,66.16575626929145,29.152157226680888,190.3166666666667
Partly cloudy (5/8),2016-05-18,-1,4.5,66.16575626929145,29.152157226680888,247.46666666666667
Cloudy (8/8),2016-05-19,-1,5.4,66.16575626929145,29.152157226680888,242.47
Mostly cloudy (7/8),2016-05-20,-1,6.1,66.16575626929145,29.152157226680888,279.34333333333336
Clear (0/8),2016-05-21,-1,7,66.16575626929145,29.152157226680888,219.1266666666667
Cloudy (8/8),2016-05-22,-1,5.7,66.16575626929145,29.152157226680888,306.08
Clear (0/8),2016-05-23,-1,13.1,66.16575626929145,29.152157226680888,293.22
Mostly cloudy (7/8),2016-05-24,-1,14.1,66.16575626929145,29.152157226680888,374.6629629629629
Cloudy (8/8),2016-05-25,-1,8.8,66.16575626929145,29.152157226680888,237.76666666666665
Mostly cloudy (7/8),2016-05-26,-1,7.9,66.16575626929145,29.152157226680888,87.19666666666666
Clear (0/8),2016-05-27,-1,7.8,66.16575626929145,29.152157226680888,267.7866666666667
Clear (0/8),2016-05-28,-1,13.5,66.16575626929145,29.152157226680888,67.32333333333334
Clear (0/8),2016-05-29,-1,17.2,66.16575626929145,29.152157226680888,117.65555555555557
Cloudy (8/8),2016-05-30,-1,9.9,66.16575626929145,29.152157226680888,345.56666666666666
Mostly cloudy (6/8),2016-05-31,-1,11,66.16575626929145,29.152157226680888,392.43
Partly cloudy (5/8),2016-06-01,-1,15,66.16575626929145,29.152157226680888,378.52463768115945
Clear (0/8),2016-06-02,-1,10.4,66.16575626929145,29.152157226680888,276.2969696969697
Clear (0/8),2016-06-03,-1,8.5,66.16575626929145,29.152157226680888,360.3242424242424
Partly cloudy (5/8),2016-06-04,-1,3.1,66.16575626929145,29.152157226680888,282.130303030303
Clear (1/8),2016-06-05,-1,2.1,66.16575626929145,29.152157226680888,132.28181818181818
Cloudy (8/8),2016-06-06,-1,3.2,66.16575626929145,29.152157226680888,267.77878787878785
Clear (0/8),2016-06-07,-1,8.2,66.16575626929145,29.152157226680888,376.3575757575757
Cloudy (8/8),2016-06-08,-1,4.9,66.16575626929145,29.152157226680888,225.1212121212121
Clear (1/8),2016-06-09,-1,4.1,66.16575626929145,29.152157226680888,142.16969696969696
Cloudy (8/8),2016-06-10,-1,4,66.16575626929145,29.152157226680888,228.4848484848485
Mostly cloudy (7/8),2016-06-11,-1,4.7,66.16575626929145,29.152157226680888,267.1909090909091
Clear (0/8),2016-06-12,-1,7.6,66.16575626929145,29.152157226680888,323.1969696969697
Clear (0/8),2016-06-13,-1,9.7,66.16575626929145,29.152157226680888,354.0757575757576
Mostly cloudy (7/8),2016-06-14,-1,8.1,66.16575626929145,29.152157226680888,388.1242424242424
Mostly clear (2/8),2016-06-15,-1,10.3,66.16575626929145,29.152157226680888,352.49666666666667
Mostly cloudy (7/8),2016-06-16,-1,14.9,66.16575626929145,29.152157226680888,49.38666666666666
Cloudy (8/8),2016-06-17,-1,12.8,66.16575626929145,29.152157226680888,109.56969696969698
Partly cloudy (4/8),2016-06-18,-1,13.6,66.16575626929145,29.152157226680888,54.2
Cloudy (8/8),2016-06-19,-1,12,66.16575626929145,29.152157226680888,97.43636363636364
-,2016-06-20,-1,9.5,66.16575626929145,29.152157226680888,212.44848484848487
-,2016-06-21,-1,13.1,66.16575626929145,29.152157226680888,281.59696969696967
-,2016-06-22,-1,13.2,66.16575626929145,29.152157226680888,219.55454545454543
Mostly clear (2/8),2016-06-23,-1,14.6,66.16575626929145,29.152157226680888,116.93333333333332
Mostly clear (3/8),2016-06-24,-1,16,66.16575626929145,29.152157226680888,90.09
Clear (0/8),2016-06-25,-1,14.1,66.16575626929145,29.152157226680888,200.1242424242424
Mostly clear (2/8),2016-06-26,-1,11.8,66.16575626929145,29.152157226680888,200.03636363636363
Clear (1/8),2016-06-27,-1,13.6,66.16575626929145,29.152157226680888,55.124242424242425
-,2016-06-28,-1,14.1,66.16575626929145,29.152157226680888,274.05454545454546
-,2016-06-29,-1,12.7,66.16575626929145,29.152157226680888,327.0666666666666
Cloudy (8/8),2016-06-30,-1,14.7,66.16575626929145,29.152157226680888,178.27878787878788
Mostly cloudy (7/8),2016-07-01,-1,15.1,66.16575626929145,29.152157226680888,248.58452380952383
Cloudy (8/8),2016-07-02,-1,17.7,66.16575626929145,29.152157226680888,272.26363636363635
Clear (1/8),2016-07-03,-1,17.9,66.16575626929145,29.152157226680888,112.63939393939393
Cloudy (8/8),2016-07-04,-1,10.1,66.16575626929145,29.152157226680888,116.34545454545452
Mostly clear (2/8),2016-07-05,-1,19.2,66.16575626929145,29.152157226680888,122.2121212121212
Mostly cloudy (7/8),2016-07-06,-1,15.4,66.16575626929145,29.152157226680888,182.11515151515152
Partly cloudy (5/8),2016-07-07,-1,14.5,66.16575626929145,29.152157226680888,69.8
Clear (0/8),2016-07-08,-1,13.8,66.16575626929145,29.152157226680888,130.79393939393938
Cloudy (8/8),2016-07-09,-1,12.2,66.16575626929145,29.152157226680888,321.6909090909091
Cloudy (8/8),2016-07-10,-1,13.6,66.16575626929145,29.152157226680888,160.0969696969697
Mostly cloudy (7/8),2016-07-11,-1,17.5,66.16575626929145,29.152157226680888,68.67272727272727
Clear (0/8),2016-07-12,-1,16,66.16575626929145,29.152157226680888,203.69393939393944
Cloudy (8/8),2016-07-13,-1,12.9,66.16575626929145,29.152157226680888,231.69090909090903
Mostly clear (2/8),2016-07-14,-1,15.7,66.16575626929145,29.152157226680888,311.5757575757576
Clear (0/8),2016-07-15,-1,17.4,66.16575626929145,29.152157226680888,65.87878787878788
Cloudy (8/8),2016-07-16,-1,13.5,66.16575626929145,29.152157226680888,174.4333333333333
Mostly cloudy (7/8),2016-07-17,-1,13.1,66.16575626929145,29.152157226680888,137.46363636363637
Cloudy (8/8),2016-07-18,-1,13.3,66.16575626929145,29.152157226680888,216.4333333333333
Mostly clear (3/8),2016-07-19,-1,14,66.16575626929145,29.152157226680888,363.3636363636363
Clear (0/8),2016-07-20,-1,14.6,66.16575626929145,29.152157226680888,305.3030303030303
Clear (0/8),2016-07-21,-1,16.1,66.16575626929145,29.152157226680888,79.93030303030304
Clear (0/8),2016-07-22,-1,17.6,66.16575626929145,29.152157226680888,54.56969696969697
Clear (0/8),2016-07-23,-1,15.1,66.16575626929145,29.152157226680888,66.4090909090909
Mostly cloudy (7/8),2016-07-24,-1,18.2,66.16575626929145,29.152157226680888,177.38484848484848
Cloudy (8/8),2016-07-25,-1,18.1,66.16575626929145,29.152157226680888,260.6969696969697
Clear (0/8),2016-07-26,-1,19.9,66.16575626929145,29.152157226680888,280.9727272727273
Mostly clear (2/8),2016-07-27,-1,17.6,66.16575626929145,29.152157226680888,272.20909090909095
Clear (0/8),2016-07-28,-1,16.4,66.16575626929145,29.152157226680888,140.75757575757575
Mostly clear (2/8),2016-07-29,-1,16.5,66.16575626929145,29.152157226680888,200.9181818181818
Mostly clear (3/8),2016-07-30,-1,15.1,66.16575626929145,29.152157226680888,213.56060606060603
Mostly cloudy (7/8),2016-07-31,-1,14.4,66.16575626929145,29.152157226680888,179.1212121212121
Mostly cloudy (7/8),2016-08-01,-1,14.5,66.16575626929145,29.152157226680888,116.0
Cloudy (8/8),2016-08-02,-1,12.8,66.16575626929145,29.152157226680888,284.7727272727273
Partly cloudy (5/8),2016-08-03,-1,12,66.16575626929145,29.152157226680888,317.7151515151515
Mostly cloudy (6/8),2016-08-04,-1,13.5,66.16575626929145,29.152157226680888,71.27575757575757
Partly cloudy (5/8),2016-08-05,-1,13.2,66.16575626929145,29.152157226680888,87.11212121212121
Clear (0/8),2016-08-06,-1,16.1,66.16575626929145,29.152157226680888,133.72424242424242
Cloudy (8/8),2016-08-07,-1,15.4,66.16575626929145,29.152157226680888,147.51818181818183
Clear (0/8),2016-08-08,-1,15.8,66.16575626929145,29.152157226680888,143.96969696969697
Partly cloudy (4/8),2016-08-09,-1,13.4,66.16575626929145,29.152157226680888,191.33939393939397
Cloudy (8/8),2016-08-10,-1,10.2,66.16575626929145,29.152157226680888,177.63636363636363
Mostly cloudy (7/8),2016-08-11,-1,9.4,66.16575626929145,29.152157226680888,173.4757575757576
Cloudy (8/8),2016-08-12,-1,8.3,66.16575626929145,29.152157226680888,203.61818181818185
Cloudy (8/8),2016-08-13,-1,8.4,66.16575626929145,29.152157226680888,61.833333333333336
Cloudy (8/8),2016-08-14,-1,12,66.16575626929145,29.152157226680888,130.8909090909091
Cloudy (8/8),2016-08-15,-1,11.9,66.16575626929145,29.152157226680888,192.13333333333333
Mostly cloudy (7/8),2016-08-16,-1,9.1,66.16575626929145,29.152157226680888,56.357575757575766
Cloudy (8/8),2016-08-17,-1,8.9,66.16575626929145,29.152157226680888,104.09696969696972
Cloudy (8/8),2016-08-18,-1,11.8,66.16575626929145,29.152157226680888,51.55757575757576
Mostly cloudy (7/8),2016-08-19,-1,12.7,66.16575626929145,29.152157226680888,155.24242424242422
Clear (1/8),2016-08-20,-1,13.6,66.16575626929145,29.152157226680888,232.21818181818185
Mostly cloudy (7/8),2016-08-21,-1,12,66.16575626929145,29.152157226680888,104.89090909090908
Cloudy (8/8),2016-08-22,-1,13.6,66.16575626929145,29.152157226680888,46.42727272727273
Cloudy (8/8),2016-08-23,-1,11,66.16575626929145,29.152157226680888,130.37575757575758
Cloudy (8/8),2016-08-24,-1,7.7,66.16575626929145,29.152157226680888,116.07
Clear (0/8),2016-08-25,-1,8.1,66.16575626929145,29.152157226680888,49.60666666666666
Cloudy (8/8),2016-08-26,-1,8.7,66.16575626929145,29.152157226680888,66.18787878787879
Mostly cloudy (7/8),2016-08-27,-1,6.6,66.16575626929145,29.152157226680888,253.1727272727273
Cloudy (8/8),2016-08-28,-1,4.2,66.16575626929145,29.152157226680888,163.23333333333332
Clear (0/8),2016-08-29,-1,7.2,66.16575626929145,29.152157226680888,38.44242424242424
Clear (0/8),2016-08-30,-1,8.7,66.16575626929145,29.152157226680888,104.36969696969696
Mostly cloudy (7/8),2016-08-31,-1,9.3,66.16575626929145,29.152157226680888,226.28787878787884
Cloudy (8/8),2016-09-01,-1,10.6,66.16575626929145,29.152157226680888,94.05333333333334
Clear (0/8),2016-09-02,-1,8.3,66.16575626929145,29.152157226680888,166.62424242424242
Clear (0/8),2016-09-03,-1,6.3,66.16575626929145,29.152157226680888,36.95757575757576
Clear (0/8),2016-09-04,-1,7.6,66.16575626929145,29.152157226680888,125.13030303030304
Clear (0/8),2016-09-05,-1,6.1,66.16575626929145,29.152157226680888,169.29999999999998
Clear (0/8),2016-09-06,-1,5.1,66.16575626929145,29.152157226680888,152.4939393939394
Mostly cloudy (7/8),2016-09-07,-1,7.5,66.16575626929145,29.152157226680888,158.21515151515152
Cloudy (8/8),2016-09-08,-1,6.7,66.16575626929145,29.152157226680888,280.660606060606
Cloudy (8/8),2016-09-09,-1,6.2,66.16575626929145,29.152157226680888,205.18181818181816
Cloudy (8/8),2016-09-10,-1,8.5,66.16575626929145,29.152157226680888,104.0030303030303
Cloudy (8/8),2016-09-11,-1,9.2,66.16575626929145,29.152157226680888,160.79090909090908
Cloudiness cannot be determined (9/8),2016-09-12,-1,7,66.16575626929145,29.152157226680888,177.32727272727269
Clear (0/8),2016-09-13,-1,5,66.16575626929145,29.152157226680888,254.9969696969697
Clear (0/8),2016-09-14,-1,7.7,66.16575626929145,29.152157226680888,259.2787878787879
Mostly cloudy (7/8),2016-09-15,-1,7.2,66.16575626929145,29.152157226680888,34.82424242424242
Mostly cloudy (7/8),2016-09-16,-1,3.7,66.16575626929145,29.152157226680888,175.28787878787875
Cloudy (8/8),2016-09-17,-1,5.2,66.16575626929145,29.152157226680888,20.184848484848484
Clear (0/8),2016-09-18,-1,5.7,66.16575626929145,29.152157226680888,126.58181818181818
Clear (0/8),2016-09-19,-1,7.5,66.16575626929145,29.152157226680888,31.336363636363632
Clear (1/8),2016-09-20,-1,7.9,66.16575626929145,29.152157226680888,178.6233333333333
Mostly cloudy (7/8),2016-09-21,-1,6.9,66.16575626929145,29.152157226680888,210.9233333333333
Cloudy (8/8),2016-09-22,-1,4.8,66.16575626929145,29.152157226680888,63.41333333333333
Cloudy (8/8),2016-09-23,-1,4.5,66.16575626929145,29.152157226680888,32.25666666666667
Cloudy (8/8),2016-09-24,-1,5.1,66.16575626929145,29.152157226680888,17.46666666666667
Mostly cloudy (7/8),2016-09-25,-1,5.2,66.16575626929145,29.152157226680888,48.70666666666667
Cloudy (8/8),2016-09-26,-1,8,66.16575626929145,29.152157226680888,50.34848484848485
Cloudy (8/8),2016-09-27,-1,9.2,66.16575626929145,29.152157226680888,83.41212121212122
Cloudy (8/8),2016-09-28,-1,8.4,66.16575626929145,29.152157226680888,13.21818181818182
Cloudy (8/8),2016-09-29,-1,6,66.16575626929145,29.152157226680888,27.13636363636364
Cloudy (8/8),2016-09-30,-1,6.3,66.16575626929145,29.152157226680888,80.61212121212121
Cloudy (8/8),2016-10-01,-1,4.7,66.16575626929145,29.152157226680888,135.60666666666663
Partly cloudy (5/8),2016-10-02,-1,3.2,66.16575626929145,29.152157226680888,170.46363636363637
Clear (0/8),2016-10-03,-1,1.6,66.16575626929145,29.152157226680888,207.960606060606
Mostly cloudy (7/8),2016-10-04,-1,0.7,66.16575626929145,29.152157226680888,126.02424242424242
Clear (0/8),2016-10-05,-1,1.1,66.16575626929145,29.152157226680888,196.8969696969697
Mostly clear (3/8),2016-10-06,-1,3.6,66.16575626929145,29.152157226680888,131.81818181818178
Clear (0/8),2016-10-07,-1,2.4,66.16575626929145,29.152157226680888,131.29999999999998
Cloudy (8/8),2016-10-08,-1,2.8,66.16575626929145,29.152157226680888,120.98787878787878
Cloudy (8/8),2016-10-09,-1,2.9,66.16575626929145,29.152157226680888,26.827272727272728
-,2016-10-10,-1,0.4,66.16575626929145,29.152157226680888,61.94545454545455
Cloudiness cannot be determined (9/8),2016-10-11,-1,-0.8,66.16575626929145,29.152157226680888,26.23636363636364
Cloudy (8/8),2016-10-12,-1,-0.4,66.16575626929145,29.152157226680888,22.181818181818183
Cloudy (8/8),2016-10-13,-1,1.2,66.16575626929145,29.152157226680888,24.318181818181817
Cloudy (8/8),2016-10-14,-1,2.5,66.16575626929145,29.152157226680888,12.981818181818182
Cloudy (8/8),2016-10-15,-1,1.2,66.16575626929145,29.152157226680888,5.509090909090909
Cloudy (8/8),2016-10-16,-1,0.3,66.16575626929145,29.152157226680888,19.593939393939397
Cloudy (8/8),2016-10-17,-1,0.1,66.16575626929145,29.152157226680888,11.481818181818182
Cloudy (8/8),2016-10-18,-1,0.8,66.16575626929145,29.152157226680888,66.6909090909091
Cloudy (8/8),2016-10-19,-1,0.6,66.16575626929145,29.152157226680888,141.1030303030303
Cloudy (8/8),2016-10-20,-1,1.3,66.16575626929145,29.152157226680888,57.00303030303031
Cloudy (8/8),2016-10-21,-1,1.4,66.16575626929145,29.152157226680888,9.893939393939393
Cloudy (8/8),2016-10-22,-1,-1,66.16575626929145,29.152157226680888,10.921212121212122
Cloudy (8/8),2016-10-23,-1,-2.3,66.16575626929145,29.152157226680888,8.857575757575757
Cloudy (8/8),2016-10-24,-1,-1.6,66.16575626929145,29.152157226680888,8.215151515151517
Cloudy (8/8),2016-10-25,-1,-2.9,66.16575626929145,29.152157226680888,15.784848484848483
Mostly cloudy (7/8),2016-10-26,0,-3.6,66.16575626929145,29.152157226680888,24.572727272727278
Cloudy (8/8),2016-10-27,0,-3.3,66.16575626929145,29.152157226680888,6.0181818181818185
Cloudy (8/8),2016-10-28,2,0.5,66.16575626929145,29.152157226680888,1.1454545454545455
Cloudy (8/8),2016-10-29,-1,-0.1,66.16575626929145,29.152157226680888,57.32424242424242
Cloudy (8/8),2016-10-30,-1,-2.2,66.16575626929145,29.152157226680888,11.60909090909091
Cloudy (8/8),2016-10-31,0,-2.2,66.16575626929145,29.152157226680888,67.08181818181819
Cloudy (8/8),2016-11-01,0,-2.4,66.16575626929145,29.152157226680888,21.65384615384615
Cloudy (8/8),2016-11-02,0,-2.9,66.16575626929145,29.152157226680888,8.828571428571427
Cloudy (8/8),2016-11-03,0,-4.7,66.16575626929145,29.152157226680888,32.55714285714286
Cloudy (8/8),2016-11-04,3,-7.9,66.16575626929145,29.152157226680888,16.123809523809527
Clear (0/8),2016-11-05,3,-9.3,66.16575626929145,29.152157226680888,16.895238095238096
Clear (0/8),2016-11-06,3,-9.9,66.16575626929145,29.152157226680888,14.428571428571429
Partly cloudy (4/8),2016-11-07,4,-9.3,66.16575626929145,29.152157226680888,8.704761904761906
Cloudy (8/8),2016-11-08,4,-9.1,66.16575626929145,29.152157226680888,7.438095238095239
Cloudy (8/8),2016-11-09,4,-8.2,66.16575626929145,29.152157226680888,8.442857142857143
Cloudy (8/8),2016-11-10,4,-10.7,66.16575626929145,29.152157226680888,5.242857142857143
Cloudy (8/8),2016-11-11,6,-9.3,66.16575626929145,29.152157226680888,97.14285714285715
Cloudy (8/8),2016-11-12,7,-11.3,66.16575626929145,29.152157226680888,1.5666666666666669
Cloudy (8/8),2016-11-13,7,-5.7,66.16575626929145,29.152157226680888,4.242857142857143
Cloudy (8/8),2016-11-14,7,-7.9,66.16575626929145,29.152157226680888,15.795238095238096
Cloudy (8/8),2016-11-15,8,-5.9,66.16575626929145,29.152157226680888,1.4333333333333331
Cloudy (8/8),2016-11-16,8,-3.9,66.16575626929145,29.152157226680888,9.271428571428572
Cloudy (8/8),2016-11-17,8,-3.2,66.16575626929145,29.152157226680888,8.38095238095238
Cloudy (8/8),2016-11-18,9,-1.5,66.16575626929145,29.152157226680888,1.0238095238095235
Cloudy (8/8),2016-11-19,12,-1,66.16575626929145,29.152157226680888,18.752380952380957
Cloudy (8/8),2016-11-20,9,-0.8,66.16575626929145,29.152157226680888,4.6
Cloudy (8/8),2016-11-21,8,-0.9,66.16575626929145,29.152157226680888,3.604761904761905
Cloudy (8/8),2016-11-22,7,-0.9,66.16575626929145,29.152157226680888,4.414285714285714
