Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
Clear (1/8),2021-11-25,12,-10.9,66.16575626929145,29.152157226680888,1.7666666666666666
Mostly cloudy (7/8),2021-11-26,12,-11.2,66.16575626929145,29.152157226680888,15.566666666666665
Mostly cloudy (7/8),2021-11-27,13,-12.4,66.16575626929145,29.152157226680888,20.83333333333333
Partly cloudy (4/8),2021-11-28,11,-12.9,66.16575626929145,29.152157226680888,1.6333333333333335
Cloudy (8/8),2021-11-29,13,-13.4,66.16575626929145,29.152157226680888,2.9
Cloudy (8/8),2021-11-30,12,-14,66.16575626929145,29.152157226680888,25.633333333333336
Cloudy (8/8),2021-12-01,18,-10.2,66.16575626929145,29.152157226680888,33.53333333333334
Cloudy (8/8),2021-12-02,26,-8.2,66.16575626929145,29.152157226680888,4.266666666666667
Mostly cloudy (7/8),2021-12-03,24,-10.4,66.16575626929145,29.152157226680888,3.8
Mostly cloudy (7/8),2021-12-04,24,-13.8,66.16575626929145,29.152157226680888,6.7
Clear (1/8),2021-12-05,21,-13.6,66.16575626929145,29.152157226680888,65.23333333333333
Cloudy (8/8),2021-12-06,21,-12.3,66.16575626929145,29.152157226680888,12.699999999999998
Mostly cloudy (7/8),2021-12-07,21,-13.6,66.16575626929145,29.152157226680888,45.46666666666667
Partly cloudy (5/8),2021-12-08,22,-13.5,66.16575626929145,29.152157226680888,18.633333333333333
Cloudy (8/8),2021-12-09,22,-13,66.16575626929145,29.152157226680888,1.6333333333333335
Cloudy (8/8),2021-12-10,21,-12.4,66.16575626929145,29.152157226680888,0.8333333333333334
Mostly cloudy (7/8),2021-12-11,22,-7.4,66.16575626929145,29.152157226680888,0.7666666666666666
Cloudy (8/8),2021-12-12,22,-7.7,66.16575626929145,29.152157226680888,1.2666666666666666
Cloudy (8/8),2021-12-13,22,-4.9,66.16575626929145,29.152157226680888,1.3333333333333333
Cloudy (8/8),2021-12-14,23,-4.9,66.16575626929145,29.152157226680888,0.8333333333333334
Cloudy (8/8),2021-12-15,22,-4.1,66.16575626929145,29.152157226680888,0.7999999999999999
