"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Helsinki Kumpula","2011","7","23","03:00","-1"
"Helsinki Kumpula","2011","7","24","03:00","-1"
"Helsinki Kumpula","2011","7","25","03:00","-1"
"Helsinki Kumpula","2011","7","26","03:00","-1"
"Helsinki Kumpula","2011","7","27","03:00","-1"
"Helsinki Kumpula","2011","7","28","03:00","-1"
"Helsinki Kumpula","2011","7","29","03:00","-1"
"Helsinki Kumpula","2011","7","30","03:00","-1"
"Helsinki Kumpula","2011","7","31","03:00","-1"
"Helsinki Kumpula","2011","8","1","03:00","-1"
"Helsinki Kumpula","2011","8","2","03:00","-1"
"Helsinki Kumpula","2011","8","3","03:00","-1"
"Helsinki Kumpula","2011","8","4","03:00","-1"
"Helsinki Kumpula","2011","8","5","03:00","-1"
"Helsinki Kumpula","2011","8","6","03:00","-1"
"Helsinki Kumpula","2011","8","7","03:00","-1"
"Helsinki Kumpula","2011","8","8","03:00","-1"
"Helsinki Kumpula","2011","8","9","03:00","-1"
"Helsinki Kumpula","2011","8","10","03:00","-1"
"Helsinki Kumpula","2011","8","11","03:00","-1"
"Helsinki Kumpula","2011","8","12","03:00","-1"
"Helsinki Kumpula","2011","8","13","03:00","-1"
"Helsinki Kumpula","2011","8","14","03:00","-1"
"Helsinki Kumpula","2011","8","15","03:00","-1"
"Helsinki Kumpula","2011","8","16","03:00","-1"
"Helsinki Kumpula","2011","8","17","03:00","-1"
"Helsinki Kumpula","2011","8","18","03:00","-1"
"Helsinki Kumpula","2011","8","19","03:00","-1"
"Helsinki Kumpula","2011","8","20","03:00","-1"
"Helsinki Kumpula","2011","8","21","03:00","-1"
"Helsinki Kumpula","2011","8","22","03:00","-1"
"Helsinki Kumpula","2011","8","23","03:00","-1"
"Helsinki Kumpula","2011","8","24","03:00","-1"
"Helsinki Kumpula","2011","8","25","03:00","-1"
"Helsinki Kumpula","2011","8","26","03:00","-1"
"Helsinki Kumpula","2011","8","27","03:00","-1"
"Helsinki Kumpula","2011","8","28","03:00","-1"
"Helsinki Kumpula","2011","8","29","03:00","-1"
"Helsinki Kumpula","2011","8","30","03:00","-1"
"Helsinki Kumpula","2011","8","31","03:00","-1"
"Helsinki Kumpula","2011","9","1","03:00","-1"
"Helsinki Kumpula","2011","9","2","03:00","-1"
"Helsinki Kumpula","2011","9","3","03:00","-1"
"Helsinki Kumpula","2011","9","4","03:00","-1"
"Helsinki Kumpula","2011","9","5","03:00","-1"
"Helsinki Kumpula","2011","9","6","03:00","-1"
"Helsinki Kumpula","2011","9","7","03:00","-1"
"Helsinki Kumpula","2011","9","8","03:00","-1"
"Helsinki Kumpula","2011","9","9","03:00","-1"
"Helsinki Kumpula","2011","9","10","03:00","-1"
"Helsinki Kumpula","2011","9","11","03:00","-1"
"Helsinki Kumpula","2011","9","12","03:00","-1"
"Helsinki Kumpula","2011","9","13","03:00","-1"
"Helsinki Kumpula","2011","9","14","03:00","-1"
"Helsinki Kumpula","2011","9","15","03:00","-1"
"Helsinki Kumpula","2011","9","16","03:00","-1"
"Helsinki Kumpula","2011","9","17","03:00","-1"
