NewIndex,Direct solar radiation mean [W/m2],Date
446,239.8,2015-10-14
447,154.1,2015-10-15
448,96.3,2015-10-16
449,187.6,2015-10-17
450,97.6,2015-10-18
451,83.9,2015-10-19
452,75.2,2015-10-20
453,2.3,2015-10-21
454,0.1,2015-10-22
455,19.7,2015-10-23
456,175.5,2015-10-24
457,0.2,2015-10-25
458,228.9,2015-10-26
459,60.4,2015-10-27
460,238.8,2015-10-28
461,9.6,2015-10-29
462,216.5,2015-10-30
463,12.9,2015-10-31
464,0.1,2015-11-01
465,69.3,2015-11-02
466,170.7,2015-11-03
467,52.7,2015-11-04
468,189.7,2015-11-05
469,0.5,2015-11-06
470,0.2,2015-11-07
471,0.5,2015-11-08
472,0.9,2015-11-09
473,9.5,2015-11-10
474,1.6,2015-11-11
475,8.0,2015-11-12
476,2.7,2015-11-13
477,12.0,2015-11-14
478,53.8,2015-11-15
479,3.1,2015-11-16
480,1.2,2015-11-17
481,2.8,2015-11-18
482,2.8,2015-11-19
483,1.3,2015-11-20
484,5.1,2015-11-21
485,0.7,2015-11-22
486,82.7,2015-11-23
487,1.3,2015-11-24
488,0.4,2015-11-25
489,0.8,2015-11-26
490,0.8,2015-11-27
491,0.7,2015-11-28
492,9.3,2015-11-29
493,0.4,2015-11-30
494,10.9,2015-12-01
495,236.7,2016-10-01
496,185.6,2016-10-02
497,303.9,2016-10-03
498,184.1,2016-10-04
499,254.7,2016-10-05
500,212.1,2016-10-06
501,233.7,2016-10-07
502,158.6,2016-10-08
503,-0.1,2016-10-09
504,27.3,2016-10-10
505,0.2,2016-10-11
506,0.3,2016-10-12
507,13.4,2016-10-13
508,0.5,2016-10-14
509,0.7,2016-10-15
510,36.2,2016-10-16
511,0.3,2016-10-17
512,123.5,2016-10-18
513,209.9,2016-10-19
514,44.7,2016-10-20
515,0.0,2016-10-21
516,0.0,2016-10-22
517,1.2,2016-10-23
518,-0.3,2016-10-24
519,-0.1,2016-10-25
520,0.5,2016-10-26
521,0.9,2016-10-27
522,1.0,2016-10-28
523,2.5,2016-10-29
524,0.3,2016-10-30
525,3.8,2016-10-31
526,0.3,2016-11-01
527,0.1,2016-11-02
528,68.9,2016-11-03
529,9.8,2016-11-04
530,32.4,2016-11-05
531,0.3,2016-11-06
532,0.1,2016-11-07
533,0.3,2016-11-08
534,0.4,2016-11-09
535,0.3,2016-11-10
536,126.3,2016-11-11
537,1.1,2016-11-12
538,0.6,2016-11-13
539,1.5,2016-11-14
540,0.4,2016-11-15
541,1.0,2016-11-16
542,1.2,2016-11-17
543,0.6,2016-11-18
544,42.6,2016-11-19
545,1.5,2016-11-20
546,0.8,2016-11-21
547,0.7,2016-11-22
548,0.9,2016-11-23
549,2.2,2016-11-24
550,6.1,2016-11-25
551,13.6,2016-11-26
552,0.6,2016-11-27
553,84.9,2016-11-28
554,113.1,2016-11-29
555,20.9,2016-11-30
556,53.2,2016-12-01
557,0.4,2017-10-01
558,0.0,2017-10-02
559,0.4,2017-10-03
560,54.7,2017-10-04
561,0.6,2017-10-05
562,7.5,2017-10-06
563,4.7,2017-10-07
564,0.8,2017-10-08
565,0.9,2017-10-09
566,0.9,2017-10-10
567,2.6,2017-10-11
568,8.5,2017-10-12
569,98.0,2017-10-13
570,0.6,2017-10-14
571,128.0,2017-10-15
572,10.8,2017-10-16
573,2.8,2017-10-17
574,40.7,2017-10-18
575,167.1,2017-10-19
576,216.1,2017-10-20
577,105.6,2017-10-21
578,87.6,2017-10-22
579,184.9,2017-10-23
580,1.8,2017-10-24
581,105.9,2017-10-25
582,0.6,2017-10-26
583,0.9,2017-10-27
584,1.0,2017-10-28
585,1.0,2017-10-29
586,0.7,2017-10-30
587,214.4,2017-10-31
588,0.9,2017-11-01
589,46.2,2017-11-02
590,98.1,2017-11-03
591,24.1,2017-11-04
592,0.2,2017-11-05
593,0.3,2017-11-06
594,165.4,2017-11-07
595,7.6,2017-11-08
596,0.4,2017-11-09
597,30.5,2017-11-10
598,0.6,2017-11-11
599,1.2,2017-11-12
600,3.7,2017-11-13
601,12.1,2017-11-14
602,24.0,2017-11-15
603,28.5,2017-11-16
604,27.5,2017-11-17
605,0.6,2017-11-18
606,0.9,2017-11-19
607,1.0,2017-11-20
608,0.9,2017-11-21
609,0.7,2017-11-22
610,0.4,2017-11-23
611,0.9,2017-11-24
612,10.9,2017-11-25
613,1.3,2017-11-26
614,0.7,2017-11-27
615,0.8,2017-11-28
616,1.1,2017-11-29
617,1.1,2017-11-30
618,0.8,2017-12-01
619,162.0,2018-10-01
620,85.3,2018-10-02
621,0.2,2018-10-03
622,253.2,2018-10-04
623,22.1,2018-10-05
624,25.2,2018-10-06
625,45.7,2018-10-07
626,24.1,2018-10-08
627,0.6,2018-10-09
628,156.1,2018-10-10
629,221.9,2018-10-11
630,0.3,2018-10-12
631,28.0,2018-10-13
632,199.3,2018-10-14
633,217.7,2018-10-15
634,11.2,2018-10-16
635,2.2,2018-10-17
636,0.5,2018-10-18
637,243.7,2018-10-19
638,21.3,2018-10-20
639,74.0,2018-10-21
640,126.3,2018-10-22
641,0.1,2018-10-23
642,24.2,2018-10-24
643,5.7,2018-10-25
644,1.0,2018-10-26
645,0.3,2018-10-27
646,212.5,2018-10-28
647,4.2,2018-10-29
648,0.2,2018-10-30
649,0.2,2018-10-31
650,16.0,2018-11-01
651,0.3,2018-11-02
652,0.2,2018-11-03
653,59.3,2018-11-04
654,0.3,2018-11-05
655,0.4,2018-11-06
656,0.4,2018-11-07
657,0.2,2018-11-08
658,0.4,2018-11-09
659,0.3,2018-11-10
660,0.3,2018-11-11
661,0.3,2018-11-12
662,0.7,2018-11-13
663,0.6,2018-11-14
664,0.3,2018-11-15
665,0.5,2018-11-16
666,29.3,2018-11-17
667,95.9,2018-11-18
668,0.2,2018-11-19
669,0.5,2018-11-20
670,126.7,2018-11-21
671,6.3,2018-11-22
672,0.8,2018-11-23
673,119.5,2018-11-24
674,7.4,2018-11-25
675,14.9,2018-11-26
676,64.5,2018-11-27
