NewIndex,Direct solar radiation mean [W/m2],Date
365,2.1,2009-01-03
366,4.9,2009-01-04
367,2.6,2009-01-05
368,1.6,2009-01-06
369,5.8,2009-01-07
370,1.8,2009-01-08
371,6.5,2009-01-09
372,2,2009-01-10
373,1.2,2009-01-11
374,0.8,2009-01-12
375,4.1,2009-01-13
376,3.8,2009-01-14
377,30.9,2009-01-15
378,16.1,2009-01-16
379,1.4,2009-01-17
380,1.4,2009-01-18
381,1.7,2009-01-19
382,1.7,2009-01-20
383,1.3,2009-01-21
384,1.2,2009-01-22
385,1.1,2009-01-23
386,2,2009-01-24
387,3.5,2009-01-25
388,1.8,2009-01-26
389,2.9,2009-01-27
390,2.9,2009-01-28
391,2.8,2009-01-29
392,1.4,2009-01-30
393,2.1,2009-01-31
394,82.4,2009-02-01
395,5.9,2009-02-02
396,2.9,2009-02-03
397,1.3,2009-02-04
398,2.2,2009-02-05
399,67.7,2009-02-06
400,1,2009-02-07
401,0.9,2009-02-08
402,1.2,2009-02-09
403,20.6,2009-02-10
404,0.9,2009-02-11
405,76.9,2009-02-12
406,1.6,2009-02-13
407,2.8,2009-02-14
408,155.3,2009-02-15
409,42.4,2009-02-16
410,39.9,2009-02-17
411,118.6,2009-02-18
412,10.2,2009-02-19
413,8.1,2009-02-20
414,0.8,2009-02-21
415,3.1,2009-02-22
416,-,2009-02-23
417,-,2009-02-24
418,140.9,2009-02-25
419,37.7,2009-02-26
420,126.5,2009-02-27
421,168.1,2009-02-28
422,230.6,2009-03-01
423,2.2,2009-03-02
424,1.5,2009-03-03
425,2,2009-03-04
426,2.4,2009-03-05
427,26.5,2009-03-06
428,4.9,2009-03-07
429,1.6,2009-03-08
430,6.3,2009-03-09
431,207.2,2009-03-10
432,48.7,2009-03-11
433,95.5,2009-03-12
434,1.5,2009-03-13
435,1.6,2009-03-14
436,2.2,2009-03-15
437,1.9,2009-03-16
438,308.5,2009-03-17
439,169.3,2009-03-18
440,144.2,2009-03-19
441,131.8,2009-03-20
442,149.7,2009-03-21
443,158.9,2009-03-22
444,235.5,2009-03-23
445,121.5,2009-03-24
446,305.5,2009-03-25
447,330.9,2009-03-26
448,373.8,2009-03-27
449,316.8,2009-03-28
450,180.9,2009-03-29
451,1.5,2009-03-30
452,26.8,2009-03-31
453,162.2,2009-04-01
454,2.1,2010-01-01
455,3.4,2010-01-02
456,2.4,2010-01-03
457,1.4,2010-01-04
458,2.9,2010-01-05
459,3,2010-01-06
460,5.9,2010-01-07
461,3.8,2010-01-08
462,3.8,2010-01-09
463,2.3,2010-01-10
464,3.1,2010-01-11
465,2.3,2010-01-12
466,2.4,2010-01-13
467,2.7,2010-01-14
468,2.9,2010-01-15
469,1.5,2010-01-16
470,1.4,2010-01-17
471,0.6,2010-01-18
472,1.1,2010-01-19
473,1.9,2010-01-20
474,1.8,2010-01-21
475,2.3,2010-01-22
476,2.7,2010-01-23
477,2.8,2010-01-24
478,2,2010-01-25
479,0.9,2010-01-26
480,0.5,2010-01-27
481,63.3,2010-01-28
482,1.4,2010-01-29
483,0.8,2010-01-30
484,2.2,2010-01-31
485,4.6,2010-02-01
486,2.4,2010-02-02
487,2.9,2010-02-03
488,3.8,2010-02-04
489,3.3,2010-02-05
490,2.3,2010-02-06
491,3.8,2010-02-07
492,-,2010-02-08
493,-,2010-02-09
494,-,2010-02-10
495,25.7,2010-02-11
496,62.1,2010-02-12
497,2,2010-02-13
498,30.4,2010-02-14
499,104.8,2010-02-15
500,141.2,2010-02-16
501,103.4,2010-02-17
502,133,2010-02-18
503,83,2010-02-19
504,93.5,2010-02-20
505,173.1,2010-02-21
506,6.5,2010-02-22
507,109.9,2010-02-23
508,2.6,2010-02-24
509,139.9,2010-02-25
510,168,2010-02-26
511,2.7,2010-02-27
512,6.2,2010-02-28
513,2.6,2010-03-01
514,1.5,2011-01-01
515,4.3,2011-01-02
516,3.2,2011-01-03
517,3.8,2011-01-04
518,2.9,2011-01-05
519,1.6,2011-01-06
520,1.9,2011-01-07
521,2.7,2011-01-08
522,1.5,2011-01-09
523,1.7,2011-01-10
524,1.4,2011-01-11
525,3.7,2011-01-12
526,2.2,2011-01-13
527,3.0,2011-01-14
528,6.9,2011-01-15
529,1.0,2011-01-16
530,1.3,2011-01-17
531,1.3,2011-01-18
532,2.2,2011-01-19
533,2.3,2011-01-20
534,0.9,2011-01-21
