"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]"
"Jämsä Halli airport","2004","6","14","03:00","-1"
"Jämsä Halli airport","2004","6","15","03:00","-1"
"Jämsä Halli airport","2004","6","16","03:00","-1"
"Jämsä Halli airport","2004","6","17","03:00","-1"
"Jämsä Halli airport","2004","6","18","03:00","-1"
"Jämsä Halli airport","2004","6","19","03:00","-1"
"Jämsä Halli airport","2004","6","20","03:00","-1"
"Jämsä Halli airport","2004","6","21","03:00","-1"
"Jämsä Halli airport","2004","6","22","03:00","-1"
"Jämsä Halli airport","2004","6","23","03:00","-1"
"Jämsä Halli airport","2004","6","24","03:00","-1"
"Jämsä Halli airport","2004","6","25","03:00","-1"
"Jämsä Halli airport","2004","6","26","03:00","-1"
"Jämsä Halli airport","2004","6","27","03:00","-1"
"Jämsä Halli airport","2004","6","28","03:00","-1"
"Jämsä Halli airport","2004","6","29","03:00","-1"
"Jämsä Halli airport","2004","6","30","03:00","-1"
"Jämsä Halli airport","2004","7","1","03:00","-1"
"Jämsä Halli airport","2004","7","2","03:00","-1"
"Jämsä Halli airport","2004","7","3","03:00","-1"
"Jämsä Halli airport","2004","7","4","03:00","-1"
"Jämsä Halli airport","2004","7","5","03:00","-1"
"Jämsä Halli airport","2004","7","6","03:00","-1"
"Jämsä Halli airport","2004","7","7","03:00","-1"
"Jämsä Halli airport","2004","7","8","03:00","-1"
"Jämsä Halli airport","2004","7","9","03:00","-1"
"Jämsä Halli airport","2004","7","10","03:00","-1"
"Jämsä Halli airport","2004","7","11","03:00","-1"
"Jämsä Halli airport","2004","7","12","03:00","-1"
"Jämsä Halli airport","2004","7","13","03:00","-1"
"Jämsä Halli airport","2004","7","14","03:00","-1"
"Jämsä Halli airport","2004","7","15","03:00","-1"
"Jämsä Halli airport","2004","7","16","03:00","-1"
"Jämsä Halli airport","2004","7","17","03:00","-1"
"Jämsä Halli airport","2004","7","18","03:00","-1"
"Jämsä Halli airport","2004","7","19","03:00","-1"
